Transforms,Test F1_mean,Test F1_max,Test F1_min,Test Precision_mean,Test Precision_max,Test Precision_min,Test Recall_mean,Test Recall_max,Test Recall_min,Test Accuracy_mean,Test Accuracy_max,Test Accuracy_min
No Transforms,0.15104489351078848,0.3977272727272727,0.0,0.294248505650509,1.0,0.0,0.2585657998423956,0.7446808510638298,0.0,,,
"RandGaussianNoise(prob=0.5, mean=0, std=0.001)",0.16404317852011643,0.4782608695652173,0.0,0.12147487109293251,0.3211678832116788,0.0,0.279720815039964,0.9361702127659576,0.0,,,
"RandGaussianNoise(prob=0.5, mean=0, std=0.002)",0.1837624491761939,0.3768115942028985,0.0,0.19905252268773213,0.3823529411764705,0.0,0.2602589215355172,0.7446808510638298,0.0,,,
"RandGaussianNoise(prob=0.5, mean=0, std=0.01)",0.20579536646494284,0.8536585365853657,0.0,0.24930426716141,1.0,0.0,0.189994371270967,0.7446808510638298,0.0,,,
"RandGaussianNoise(prob=0.5, mean=0, std=0.1)",0.08702250130821554,0.1666666666666666,0.0,0.4475294117647059,1.0,0.0,0.0952831250703591,0.2857142857142857,0.0,,,
RandGaussianSharpen(prob=0.5),0.20892436217845742,0.5689655172413792,0.0,0.1854155151469729,0.4782608695652174,0.0,0.26656309805245976,0.7021276595744681,0.0,,,
"RandGaussianSharpen(prob=0.5, alpha=(1.0, 5.0))",0.1500424507694717,0.440251572327044,0.0,0.2976351351351351,1.0,0.0,0.23062929190588766,0.7446808510638298,0.0,,,
"RandShiftIntensity(prob=0.5, offsets=(-0.05, 0.05))",0.17898966483144982,0.4666666666666667,0.0,0.15643935352673216,0.3398058252427184,0.0,0.2585657998423956,0.7446808510638298,0.0,,,
"RandShiftIntensity(prob=0.5, offsets=(-0.1, 0.1))",0.26620143886480113,0.6944444444444444,0.0,0.5391025641025641,1.0,0.0,0.21199144433186984,0.5319148936170213,0.0,,,
"RandShiftIntensity(prob=0.5, offsets=(0.1, 0.1))",0.28312806782686295,0.8433734939759036,0.0481927710843373,0.45447239692522706,1.0,0.037037037037037,0.27003086096262907,0.7446808510638298,0.0689655172413793,,,
"RandSmoothFieldAdjustContrast(prob=0.5, spatial_size=(600, 600), rand_size=(10, 10))",0.23218050065876153,0.675,0.0,0.3986363636363636,1.0,0.0,0.22247982391782833,0.574468085106383,0.0,,,
"RandSmoothFieldAdjustContrast(prob=0.5, spatial_size=(600, 600), rand_size=(2, 2))",0.19094606542882403,0.7999999999999999,0.0,0.21542087542087537,0.9696969696969696,0.0,0.19267814927389396,0.6808510638297872,0.0,,,
"RandSmoothFieldAdjustContrast(prob=0.5, spatial_size=(600, 600), rand_size=(5, 5))",0.2586150675887142,0.7654320987654322,0.0,0.3041900452488688,0.9117647058823528,0.0,0.2365016478589479,0.6595744680851063,0.0,,,
"RandZoom(prob=0.5, min_zoom=0.8, max_zoom=1.0)",0.22290952832251948,0.603448275862069,0.0454545454545454,0.29701158539271394,0.8,0.0285714285714285,0.2786205343798887,0.7446808510638298,0.1034482758620689,,,
"RandZoom(prob=0.5, min_zoom=1.0, max_zoom=1.2)",0.24981635817037376,0.6582278481012658,0.0,0.2636607198455695,0.8125,0.0,0.3373049645390071,0.8,0.0,,,
"RandomAdjustSharpness(sharpness_factor=1.5, p=0.5)",0.17410824245952666,0.4929577464788733,0.0,0.1474937343358396,0.3684210526315789,0.0,0.234015535292131,0.7446808510638298,0.0,,,
"RandomAdjustSharpness(sharpness_factor=2.0, p=0.5)",0.12582072810088715,0.3615384615384615,0.0,0.09242228556726499,0.2206572769953051,0.0,0.2679365079365079,1.0,0.0,,,
"RandomAdjustSharpness(sharpness_factor=2.5, p=0.5)",0.2489285714285714,0.825,0.0,0.4551242236024845,1.0,0.0,0.24434087583023753,0.7021276595744681,0.0,,,
"RandomApply([MT.SavitzkyGolaySmooth(window_length=3, order=1)], p=0.5)",0.15495683378895056,0.510948905109489,0.0,0.11541733120680489,0.3888888888888889,0.0,0.2397298210064167,0.7446808510638298,0.0,,,
"RandomApply([MT.SavitzkyGolaySmooth(window_length=5, order=2)], p=0.5)",0.19907534843205577,0.546875,0.0,0.34995808010478174,1.0,0.0,0.25285151412810986,0.7446808510638298,0.0,,,
"RandomApply([T.ColorJitter(brightness=(0.5, 1.5))], p=0.5)",0.2789172794947587,0.6542056074766355,0.0521739130434782,0.3992151855635001,1.0,0.034090909090909,0.3756466245094271,0.7446808510638298,0.1111111111111111,,,
"RandomApply([T.ColorJitter(contrast=(0.5, 1.5))], p=0.5)",0.15017104992095948,0.3954802259887006,0.0,0.10299249530956847,0.2692307692307692,0.0,0.2911583924349882,0.7446808510638298,0.0,,,
"RandomApply([T.ColorJitter(saturation=0.5)], p=0.5)",0.16889783707849193,0.4964539007092198,0.0,0.22152690863579472,0.5,0.0,0.22491500619160193,0.7446808510638298,0.0,,,
"RandomApply([T.GaussianBlur(kernel_size=5, sigma=(0.1, 2.0))], p=0.5)",0.17000473176790676,0.4545454545454545,0.0,0.3028580891438471,1.0,0.0,0.24883035010694582,0.7446808510638298,0.0,,,
"RandomApply([T.RandomAffine(degrees=(-25, 25)) ],  p=0.5)",0.24591407183176722,0.6371681415929202,0.0434782608695652,0.34881279389706354,1.0,0.027027027027027,0.3237807978820451,0.7659574468085106,0.1111111111111111,,,
"RandomApply([T.RandomAffine(degrees=0, shear=(-15, 15, -15, 15))], p=0.5)",0.28834850144810514,0.7674418604651163,0.0375,0.40927471107040214,1.0,0.0229007633587786,0.3249247108968312,0.7021276595744681,0.1034482758620689,,,
"RandomApply([T.RandomAffine(degrees=0, translate=(0.15, 0.15))], p=0.5)",0.2364664739909364,0.6842105263157894,0.0458015267175572,0.379303452078758,0.896551724137931,0.0288461538461538,0.22956550093747455,0.5531914893617021,0.1111111111111111,,,
"RandomBrightnessByAdd(p=0.5, delta=(0.05, 0.15))",0.22087854128993367,0.7291666666666666,0.0,0.39740259740259737,1.0,0.0,0.22491500619160193,0.7446808510638298,0.0,,,
"RandomBrightnessByAdd(p=0.5, delta=(0.15, 0.25))",0.16045643976678456,0.3703703703703703,0.0476190476190476,0.4962779973649539,1.0,0.0303030303030303,0.1509244702201415,0.4285714285714285,0.0344827586206896,,,
"RandomContrastByMultiply(p=0.5, multiplier=(0.75, 0.75))",0.13053142048898767,0.3465346534653465,0.0,0.09278033794162824,0.238095238095238,0.0,0.23465045592705164,0.7446808510638298,0.0,,,
"RandomErasing(p=0.5, scale=(0.02, 0.33), ratio=(0.3, 3.3), value='random', inplace=False)",0.1707109683031893,0.578512396694215,0.0,0.1340652505209467,0.4729729729729729,0.0,0.2397298210064167,0.7446808510638298,0.0,,,
"RandomErasing(p=0.5, scale=(0.02, 0.33), ratio=(0.3, 3.3), value=0, inplace=False)",0.17936610437133407,0.5035971223021584,0.0,0.12770655785064278,0.3804347826086957,0.0,0.31401553529213105,0.7446808510638298,0.0,,,
RandomHorizontalFlip(p=0.5),0.19118441659645632,0.3954802259887006,0.0606060606060606,0.37051282051282053,1.0,0.1333333333333333,0.26546235156653347,0.7446808510638298,0.0344827586206896,,,
"RandomResizedCrop(size=(600, 600), scale=(0.2, 1.0), ratio=(3.0 / 4.0, 4.0 / 3.0), antialias=True)",0.2488071068104544,0.440251572327044,0.1061946902654867,0.3086138011775671,0.5454545454545454,0.0697674418604651,0.3617659458011622,0.7446808510638298,0.1714285714285714,,,
"RandomResizedCrop(size=(600, 600), scale=(0.5, 1.0), ratio=(3.0 / 4.0, 4.0 / 3.0), antialias=True)",0.17706027768408908,0.4,0.048780487804878,0.2946143573708553,1.0,0.0294117647058823,0.28306994763341053,0.9148936170212766,0.037037037037037,,,
"RandomResizedCrop(size=(600, 600), scale=(0.7, 1.0), ratio=(3.0 / 4.0, 4.0 / 3.0), antialias=True)",0.21601285885931945,0.673076923076923,0.0564971751412429,0.24999620673304884,0.6140350877192983,0.0337837837837837,0.2547416801562069,0.7446808510638298,0.074074074074074,,,
"RandomSaltAndPepperNoise(p=0.5, density=(0.01, 0.03))",0.01227871939736344,0.0444444444444444,0.0,0.0079651941097724,0.0277777777777777,0.0,0.02793650793650792,0.1111111111111111,0.0,,,
RandomVerticalFlip(p=0.5),0.28989754025271847,0.6933333333333335,0.0618556701030927,0.5142857142857142,1.0,0.0428571428571428,0.27930095067292426,0.5531914893617021,0.074074074074074,,,
