Run ID,Transform Init,Transforms,Output Transform,Fold,Best Epoch,Test F1,Test Precision,Test Recall,Test Accuracy,TN,FP,FN,TP
m7ffuptn,"TransformResize(600)
TransformPad(600)","RandomErasing(p=0.5, scale=(0.02, 0.33), ratio=(0.3, 3.3), value='random', inplace=False)",None,4,12,0.21052631578947367,0.1518987341772152,0.34285714285714286,,148,67,23,12
xhb41391,"TransformResize(600)
TransformPad(600)","RandomErasing(p=0.5, scale=(0.02, 0.33), ratio=(0.3, 3.3), value=0, inplace=False)",None,4,15,0.34013605442176875,0.22321428571428573,0.7142857142857143,,128,87,10,25
0y9p34vo,"TransformResize(600)
TransformPad(600)","RandShiftIntensity(prob=0.5, offsets=(0.1, 0.1))",None,4,37,0.25000000000000006,0.20754716981132076,0.3142857142857143,,173,42,24,11
iqpss9vj,"TransformResize(600)
TransformPad(600)","RandShiftIntensity(prob=0.5, offsets=(-0.05, 0.05))",None,4,23,0.3218390804597701,0.2692307692307692,0.4,,177,38,21,14
lftk9ekk,"TransformResize(600)
TransformPad(600)","RandShiftIntensity(prob=0.5, offsets=(-0.1, 0.1))",None,4,33,0.4528301886792453,0.6666666666666666,0.34285714285714286,,209,6,23,12
imoonflu,"TransformResize(600)
TransformPad(600)","RandomAdjustSharpness(sharpness_factor=2.5, p=0.5)",None,4,14,0.2857142857142857,0.23214285714285715,0.37142857142857144,,172,43,22,13
prwmsplj,"TransformResize(600)
TransformPad(600)","RandomAdjustSharpness(sharpness_factor=1.5, p=0.5)",None,4,21,0.3235294117647059,0.3333333333333333,0.3142857142857143,,193,22,24,11
anj5ued1,"TransformResize(600)
TransformPad(600)","RandomAdjustSharpness(sharpness_factor=2.0, p=0.5)",None,4,39,0.21917808219178084,0.21052631578947367,0.22857142857142856,,185,30,27,8
m6gvcuo9,"TransformResize(600)
TransformPad(600)",RandGaussianSharpen(prob=0.5),None,4,19,0.24299065420560745,0.18055555555555555,0.37142857142857144,,156,59,22,13
1vm4ld4n,"TransformResize(600)
TransformPad(600)","RandGaussianSharpen(prob=0.5, alpha=(1.0, 5.0))",None,4,18,0.23853211009174313,0.17567567567567569,0.37142857142857144,,154,61,22,13
1a1rhiq3,"TransformResize(600)
TransformPad(600)","RandGaussianNoise(prob=0.5, mean=0, std=0.01)",None,4,39,0.07017543859649122,0.09090909090909093,0.05714285714285714,,195,20,33,2
3byi3c2i,"TransformResize(600)
TransformPad(600)","RandGaussianNoise(prob=0.5, mean=0, std=0.001)",None,4,20,0.24719101123595505,0.2037037037037037,0.3142857142857143,,172,43,24,11
3job5s5h,"TransformResize(600)
TransformPad(600)","RandomApply([T.GaussianBlur(kernel_size=5, sigma=(0.1, 2.0))], p=0.5)",None,4,36,0.2075471698113207,0.15492957746478872,0.3142857142857143,,155,60,24,11
dlxu7pp3,"TransformResize(600)
TransformPad(600)","RandomApply([T.ColorJitter(saturation=0.5)], p=0.5)",None,4,26,0.2790697674418605,0.2352941176470588,0.34285714285714286,,176,39,23,12
ok0hh0t1,"TransformResize(600)
TransformPad(600)","RandomBrightnessByAdd(p=0.5, delta=(0.05, 0.15))",None,4,23,0.30379746835443033,0.2727272727272727,0.34285714285714286,,183,32,23,12
ynxky3ot,"TransformResize(600)
TransformPad(600)","RandomBrightnessByAdd(p=0.5, delta=(0.15, 0.25))",None,4,17,0.3703703703703703,0.32608695652173914,0.42857142857142855,,184,31,20,15
ui4x63ma,"TransformResize(600)
TransformPad(600)","RandomApply([T.ColorJitter(brightness=(0.5, 1.5))], p=0.5)",None,4,17,0.3529411764705882,0.3,0.42857142857142855,,180,35,20,15
ifm8dsr7,"TransformResize(600)
TransformPad(600)","RandomContrastByMultiply(p=0.5, multiplier=(0.75, 0.75))",None,4,39,0.30612244897959184,0.23809523809523808,0.42857142857142855,,167,48,20,15
01neid9p,"TransformResize(600)
TransformPad(600)","RandSmoothFieldAdjustContrast(prob=0.5, spatial_size=(600, 600), rand_size=(10, 10))",None,4,16,0.2434782608695652,0.175,0.4,,149,66,21,14
t9sf1v8y,"TransformResize(600)
TransformPad(600)","RandSmoothFieldAdjustContrast(prob=0.5, spatial_size=(600, 600), rand_size=(2, 2))",None,4,21,0.10344827586206896,0.07407407407407407,0.17142857142857143,,140,75,29,6
hhybegxf,"TransformResize(600)
TransformPad(600)","RandSmoothFieldAdjustContrast(prob=0.5, spatial_size=(600, 600), rand_size=(5, 5))",None,4,12,0.3934426229508197,0.4615384615384616,0.34285714285714286,,201,14,23,12
ndt91fir,"TransformResize(600)
TransformPad(600)","RandomApply([T.ColorJitter(contrast=(0.5, 1.5))], p=0.5)",None,4,20,0.2658227848101266,0.17073170731707318,0.6,,113,102,14,21
