Transforms,Test F1_mean,Test F1_max,Test F1_min,Test Precision_mean,Test Precision_max,Test Precision_min,Test Recall_mean,Test Recall_max,Test Recall_min,Test Accuracy_mean,Test Accuracy_max,Test Accuracy_min,sweep_type,average_metric
None,0.2492376649666123,0.53125,0.048,0.5628544751233827,1.0,0.0306122448979591,0.2670932078709042,0.4827586206896552,0.037037037037037,,,,None,0.3419188324833062
"T.RandomApply([T.RandomAffine(degrees=(-15, 15))], p=0.5)",0.2531672275342326,0.8192771084337349,0.0470588235294117,0.342609397055858,0.9444444444444444,0.0344827586206896,0.3217799205766923,0.723404255319149,0.037037037037037,,,,affine,0.45900033949355146
"T.RandomApply([T.RandomAffine(degrees=(-30, 30))], p=0.5)",0.3652847425889345,0.8433734939759036,0.12,0.4832129274774973,1.0,0.0793650793650793,0.3967230704134593,0.7446808510638298,0.1111111111111111,,,,affine,0.5319917688848287
"T.RandomApply([T.RandomAffine(degrees=(-45, 45))], p=0.5)",0.3037033060412505,0.8045977011494252,0.0588235294117647,0.4097399267399267,0.875,0.0384615384615384,0.3193284343981336,0.7446808510638298,0.1111111111111111,,,,affine,0.4795730864215718
"T.RandomApply([T.RandomAffine(degrees=(-5, 5))], p=0.5)",0.2413745110546873,0.7415730337078651,0.0201005025125628,0.3912934496291741,1.0,0.0117647058823529,0.2346419157864498,0.7021276595744681,0.0689655172413793,,,,affine,0.41932651926174597
"T.RandomApply([T.RandomAffine(degrees=0, scale=(0.7, 1.3))], p=0.5)",0.2115832409950056,0.5555555555555555,0.054054054054054,0.2662439585730725,0.6666666666666666,0.0342857142857142,0.2707387609808739,0.7446808510638298,0.1111111111111111,,,,affine,0.3334192481251304
"T.RandomApply([T.RandomAffine(degrees=0, scale=(0.85, 1.0))], p=0.5)",0.2036190605307034,0.6542056074766355,0.0292682926829268,0.3609327076432339,1.0,0.0170454545454545,0.2563983121576665,0.7446808510638298,0.037037037037037,,,,affine,0.3664186025242986
"T.RandomApply([T.RandomAffine(degrees=0, scale=(0.85, 1.15))], p=0.5)",0.2876423936553712,0.7368421052631579,0.0,0.3614203778677463,0.75,0.0,0.2784599797365755,0.7446808510638298,0.0,,,,affine,0.43855803893294876
"T.RandomApply([T.RandomAffine(degrees=0, scale=(1.0, 1.15))], p=0.5)",0.2352328909705959,0.8333333333333334,0.0,0.4346354134454821,1.0,0.0,0.2299943712709669,0.7446808510638298,0.0,,,,affine,0.4509497788186313
"T.RandomApply([T.RandomAffine(degrees=0, shear=(-15, 15, -15, 15))], p=0.5)",0.307216753961503,0.8333333333333334,0.0492610837438423,0.4739903696800248,1.0,0.028735632183908,0.2924136378281646,0.7446808510638298,0.1111111111111111,,,,affine,0.49186781868846907
"T.RandomApply([T.RandomAffine(degrees=0, shear=(-15, 15, 0, 0))], p=0.5)",0.2175238095238095,0.4666666666666667,0.0,0.199243216330595,0.4,0.0,0.3313700326466284,0.7446808510638298,0.0,,,,affine,0.29542857142857143
"T.RandomApply([T.RandomAffine(degrees=0, shear=(-30, 30, -30, 30))], p=0.5)",0.2358323104522707,0.5,0.0,0.2940649148110364,1.0,0.0,0.3121107733873691,0.7446808510638298,0.0,,,,affine,0.31791615522613537
"T.RandomApply([T.RandomAffine(degrees=0, shear=(0, 0, -15, 15))], p=0.5)",0.2603468400687955,0.7865168539325842,0.0530973451327433,0.5572412944505968,1.0,0.0348837209302325,0.317482056000031,0.7446808510638298,0.037037037037037,,,,affine,0.45008989612070577
"T.RandomApply([T.RandomAffine(degrees=0, translate=(0.0, 0.15))], p=0.5)",0.2042281044860311,0.5423728813559323,0.0099502487562189,0.3880950796183643,1.0,0.005813953488372,0.2298392512625821,0.6808510638297872,0.0344827586206896,,,,affine,0.32005822966101033
"T.RandomApply([T.RandomAffine(degrees=0, translate=(0.15, 0.0))], p=0.5)",0.1828191012674433,0.7123287671232876,0.0,0.236578947368421,1.0,0.0,0.1597388269728695,0.5531914893617021,0.0,,,,affine,0.3763410574830367
