Transforms,Test F1_mean,Test F1_max,Test F1_min,Test Precision_mean,Test Precision_max,Test Precision_min,Test Recall_mean,Test Recall_max,Test Recall_min,Test Accuracy_mean,Test Accuracy_max,Test Accuracy_min
None,0.17899699621261592,0.5053763440860215,0.0,0.13244949092582456,0.3381294964028777,0.0,0.31719759168035033,1.0,0.0,,,
"RandGaussianNoise(prob=0.5, mean=0.3, std=0.3)
RandAdjustContrast(prob=0.5, gamma=(0.5, 4.5))
RandHistogramShift(num_control_points=10, prob=0.5)
RandBiasField(degree=3, coeff_range=(0.0, 0.1), prob=0.5)
RandFlip(prob=0.5, spatial_axis=1)
RandGibbsNoise(prob=0.5, alpha=(0.4, 1.0))
RandZoom(prob=0.5, min_zoom=0.8, max_zoom=1.4)
RandRotate(range_x=10.0, prob=0.5, keep_size=True)
RandGaussianSmooth(sigma_x=(0.25, 1.5), sigma_y=(0.25, 1.5), prob=0.8)
RandAffine(prob=0.5)
RandGridDistortion(num_cells=5, prob=0.5, distort_limit=(-0.03, 0.03))
Rand2DElastic(spacing=(20,20), magnitude_range=(1,2), prob=0.4)
RandCoarseDropout(holes=5, spatial_size=(30,30), fill_value=0, prob=0.6)
RandGaussianNoise(prob=0.5, mean=0.3, std=0.3)",0.3892296404485907,0.912280701754386,0.0,0.4418966565349544,0.8666666666666667,0.0,0.5758144770910728,1.0,0.0,,,
"RandGaussianNoise(prob=0.5, mean=0.3, std=0.3)
RandAdjustContrast(prob=0.5, gamma=(0.5, 4.5))
RandHistogramShift(num_control_points=10, prob=0.5)
RandBiasField(degree=3, coeff_range=(0.0, 0.1), prob=0.5)
RandFlip(prob=0.5, spatial_axis=1)
RandGibbsNoise(prob=0.5, alpha=(0.4, 1.0))
RandZoom(prob=0.5, min_zoom=0.8, max_zoom=1.4)
RandRotate(range_x=10.0, prob=0.5, keep_size=True)
RandGaussianSmooth(sigma_x=(0.25, 1.5), sigma_y=(0.25, 1.5), prob=0.8)
RandAffine(prob=0.5)
RandGridDistortion(num_cells=5, prob=0.5, distort_limit=(-0.03, 0.03))
Rand2DElastic(spacing=(20,20), magnitude_range=(1,2), prob=0.4)
RandCoarseDropout(holes=5, spatial_size=(30,30), fill_value=0,prob=0.6)
RandGaussianNoise(prob=0.5, mean=0.3, std=0.3)
NormalizeIntensity()",0.15461967002356974,0.36153846153846153,0.0,0.09027864154624718,0.22065727699530516,0.0,0.6,1.0,0.0,,,
"RandGaussianNoise(prob=0.5, mean=0.3, std=0.3)
RandFlip(prob=0.5, spatial_axis=1)
RandZoom(prob=0.5, min_zoom=0.8, max_zoom=1.4)
NormalizeIntensity()",0.29939674304999386,0.7105263157894737,0.0,0.2958870084619213,0.7,0.0,0.6518518518518518,1.0,0.0,,,
"RandGaussianNoise(prob=0.5, mean=0.3, std=0.3)
RandGibbsNoise(prob=0.5, alpha=(0.4, 1.0))
RandGaussianSmooth(sigma_x=(0.25, 1.5), sigma_y=(0.25, 1.5), prob=0.8)
NormalizeIntensity()",0.14991727500579483,0.3424124513618677,0.0,0.08748051948051948,0.20952380952380953,0.0,0.5872340425531914,1.0,0.0,,,
"RandGridDistortion(num_cells=5, prob=0.5, distort_limit=(-0.03, 0.03))
Rand2DElastic(spacing=(20,20), magnitude_range=(1,2), prob=0.4)",0.22710450690912526,0.608695652173913,0.05128205128205129,0.35289948498756263,1.0,0.0410958904109589,0.2648274309316129,0.7446808510638298,0.034482758620689655,,,
"RandomResizedCrop(510, antialias=True)
RandomVerticalFlip()
RandomRotation(degrees=15)
ColorJitter(brightness=0.2, contrast=0.2, saturation=0.2, hue=0.1)
RandomAffine(degrees=15, translate=(0.1, 0.1), scale=(0.8, 1.2), shear=10)
Normalize(mean=(0.5, 0.5, 0.5), std=(0.5, 0.5, 0.5))",0.1454659193264842,0.2868852459016394,0.0,0.08551615990702285,0.17766497461928937,0.0,0.548936170212766,1.0,0.0,,,
"RandomResizedCrop(510, antialias=True)
RandomVerticalFlip()
RandomRotation(degrees=15)
RandomAffine(degrees=15, translate=(0.1, 0.1), scale=(0.8, 1.2), shear=10)
Normalize(mean=(0.5, 0.5, 0.5), std=(0.5, 0.5, 0.5))",0.22312580437580437,0.71875,0.0,0.5939148073022313,1.0,0.0,0.28791888419181155,0.7241379310344828,0.0,,,
"RandomResizedCrop(510, antialias=True)
RandomVerticalFlip()
RandomRotation(degrees=15)
RandomAffine(degrees=15, translate=(0.1, 0.1), scale=(0.8, 1.2), shear=10)
RandGaussianNoise(prob=0.5, mean=0, std=0.0001)
Normalize(mean=(0.5, 0.5, 0.5), std=(0.5, 0.5, 0.5))",0.27836216415163784,0.49122807017543857,0.0,0.5153100775193798,1.0,0.0,0.2818990167192662,0.5531914893617021,0.0,,,
"RandomVerticalFlip()
RandomRotation(degrees=10)
RandomAffine(degrees=10, translate=(0.2, 0.2), scale=(0.8, 1.2), shear=10)
ColorJitter(brightness=0.2, contrast=0.2, saturation=0.2, hue=0.1)
RandGaussianNoise(prob=0.5, mean=0.4, std=0.5)
Normalize(mean=(0.5, 0.5, 0.5), std=(0.5, 0.5, 0.5))",0.06150197628458498,0.2727272727272727,0.0,0.03623011015911872,0.15789473684210523,0.0,0.21379310344827585,1.0,0.0,,,
