Run ID,Transform Init,Transforms,Output Transform,Fold,Best Epoch,Test F1,Test Precision,Test Recall,Test Accuracy,TN,FP,FN,TP
ueead9z1,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","""MT.Rand2DElastic(prob=0.5, spacing=(45, 45), magnitude_range=(1.0, 3.0), padding_mode=zeros, spatial_size=(600, 400))""",None,4,29,0.30952380952380953,0.2653061224489796,0.37142857142857144,,179,36,22,13
qqkojp68,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","""MT.Rand2DElastic(prob=0.5, spacing=(30, 30), magnitude_range=(1.0, 2.0), padding_mode=zeros, spatial_size=(600, 400))""",None,4,25,0.2444444444444445,0.2,0.3142857142857143,,171,44,24,11
9m1qcm59,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","""MT.Rand2DElastic(prob=0.5, spacing=(30, 30), magnitude_range=(2.5, 3.0), padding_mode=zeros, spatial_size=(600, 400))""",None,4,19,0.32911392405063294,0.29545454545454547,0.37142857142857144,,184,31,22,13
fz69fj47,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","""MT.Rand2DElastic(prob=0.5, spacing=(30, 30), magnitude_range=(1.0, 3.0), padding_mode=zeros, spatial_size=(600, 400))""",None,4,10,0.30952380952380953,0.2653061224489796,0.37142857142857144,,179,36,22,13
qeb7g23v,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomElasticTransform(p=0.5, alpha=(20.0, 5.0), sigma=(4.0, 5.0))",None,4,14,0.2222222222222222,0.15384615384615383,0.4,,138,77,21,14
xn2lmiau,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomElasticTransform(p=0.5, alpha=(5.0, 10.0), sigma=(3.0, 5.0))",None,4,35,0.21428571428571427,0.2857142857142857,0.17142857142857143,,200,15,29,6
ijptlxqn,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomElasticTransform(p=0.5, alpha=(5.0, 20.0), sigma=(3.0, 5.0))",None,4,20,0.3829787234042553,0.75,0.2571428571428571,,212,3,26,9
70nruywb,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomElasticTransform(p=0.5, alpha=(5.0, 40.0), sigma=(4.0, 5.0))",None,4,21,0.35135135135135137,0.3333333333333333,0.37142857142857144,,189,26,22,13
ezryd37v,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomElasticTransform(p=0.5, alpha=(5.0, 50.0), sigma=(4.0, 5.0))",None,4,22,0.3218390804597701,0.2692307692307692,0.4,,177,38,21,14
vbg23bml,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))",None,None,4,39,0.34375,0.3793103448275862,0.3142857142857143,,197,18,24,11
67u5vi79,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","""MT.Rand2DElastic(prob=0.5, spacing=(45, 45), magnitude_range=(1.0, 3.0), padding_mode=zeros, spatial_size=(600, 400))""",None,3,18,0.7692307692307692,0.7954545454545454,0.7446808510638298,,157,9,12,35
3imohq5i,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","""MT.Rand2DElastic(prob=0.5, spacing=(30, 30), magnitude_range=(1.0, 2.0), padding_mode=zeros, spatial_size=(600, 400))""",None,3,21,0.6422018348623854,0.5645161290322581,0.7446808510638298,,139,27,12,35
5etb2fg3,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","""MT.Rand2DElastic(prob=0.5, spacing=(30, 30), magnitude_range=(2.5, 3.0), padding_mode=zeros, spatial_size=(600, 400))""",None,3,9,0.5113636363636364,0.3488372093023256,0.9574468085106383,,82,84,2,45
y8zi6esj,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","""MT.Rand2DElastic(prob=0.5, spacing=(30, 30), magnitude_range=(1.0, 3.0), padding_mode=zeros, spatial_size=(600, 400))""",None,3,18,0.6363636363636364,0.5555555555555556,0.7446808510638298,,138,28,12,35
hdjodrl7,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomElasticTransform(p=0.5, alpha=(20.0, 5.0), sigma=(4.0, 5.0))",None,3,16,0.7,0.660377358490566,0.7446808510638298,,148,18,12,35
gcz08190,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomElasticTransform(p=0.5, alpha=(5.0, 10.0), sigma=(3.0, 5.0))",None,3,20,0.5072463768115941,0.38461538461538464,0.7446808510638298,,110,56,12,35
xtadqu5u,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomElasticTransform(p=0.5, alpha=(5.0, 20.0), sigma=(3.0, 5.0))",None,3,10,0.6666666666666665,0.603448275862069,0.7446808510638298,,143,23,12,35
bauzxns5,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomElasticTransform(p=0.5, alpha=(5.0, 40.0), sigma=(4.0, 5.0))",None,3,10,0.6796116504854368,0.625,0.7446808510638298,,145,21,12,35
