Run ID,Transform Init,Transforms,Output Transform,Fold,Best Epoch,Test F1,Test Precision,Test Recall,Test Accuracy,TN,FP,FN,TP
hp0h7e4n,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandGridDistortion(num_cells=9, prob=0.5, distort_limit=(-0.5, 0.5))",None,4,17,0.31304347826086953,0.225,0.5142857142857142,,153,62,17,18
7xsxd4fc,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandGridDistortion(num_cells=9, prob=0.5, distort_limit=(-0.3, 0.3))",None,4,30,0.26666666666666666,0.25,0.2857142857142857,,185,30,25,10
qe2xg7l8,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandGridDistortion(num_cells=9, prob=0.5, distort_limit=(-0.1, 0.1))",None,4,12,0.2686567164179104,0.18181818181818185,0.5142857142857142,,134,81,17,18
azbkuupe,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandGridDistortion(num_cells=9, prob=0.5, distort_limit=(-0.03, 0.03))",None,4,38,0.44067796610169496,0.5416666666666666,0.37142857142857144,,204,11,22,13
3r1m6taw,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandGridDistortion(num_cells=9, prob=0.5, distort_limit=(-0.09, 0.09))",None,4,33,0.4782608695652174,1.0,0.3142857142857143,,215,0,24,11
5ia2tt7l,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandGridDistortion(num_cells=7, prob=0.5, distort_limit=(-0.5, 0.5))",None,4,14,0.2015503875968992,0.13829787234042554,0.37142857142857144,,134,81,22,13
fbn3belp,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandGridDistortion(num_cells=7, prob=0.5, distort_limit=(-0.3, 0.3))",None,4,13,0.1911764705882353,0.12871287128712872,0.37142857142857144,,127,88,22,13
f5wz3jfs,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandGridDistortion(num_cells=7, prob=0.5, distort_limit=(-0.1, 0.1))",None,4,16,0.32727272727272727,0.45,0.2571428571428571,,204,11,26,9
uh8jmqyy,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandGridDistortion(num_cells=7, prob=0.5, distort_limit=(-0.09, 0.09))",None,4,17,0.24,0.4,0.17142857142857143,,206,9,29,6
tr4129vs,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandGridDistortion(num_cells=7, prob=0.5, distort_limit=(-0.03, 0.03))",None,4,13,0.3023255813953488,0.2549019607843137,0.37142857142857144,,177,38,22,13
blzs48d7,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandGridDistortion(num_cells=3, prob=0.5, distort_limit=(-0.5, 0.5))",None,4,12,0.3170731707317073,0.2765957446808511,0.37142857142857144,,181,34,22,13
