,frame_id,video_id,name_cvat,frame,frame_path,frame_usg_area_idx_0,frame_usg_area_idx_1,frame_usg_area_idx_2,frame_usg_area_idx_3,frame_cropped_path,aline,bline,liver,lung,lung_atelectasis,lungpoint,lungslidingabsent,lungslidingpresent,pleural_effusion,s1,s2,spleen,label,size_h,size_w
1487,R2ZG2B33,84472RLO,003_image_106405119193.mp4,0,/video_frames/003_image_106405119193.mp4/frame_0.png,98.0,652.0,478.0,678.0,cropped/video_frames/003_image_106405119193.mp4/frame_0.png,True,False,False,False,False,False,False,True,False,False,False,False,1,554.0,200.0
1488,TCUKBP7M,84472RLO,003_image_106405119193.mp4,10,/video_frames/003_image_106405119193.mp4/frame_10.png,96.0,650.0,478.0,794.0,cropped/video_frames/003_image_106405119193.mp4/frame_10.png,True,False,False,False,False,False,False,True,False,False,False,False,1,554.0,316.0
1489,ZUT2GURZ,84472RLO,003_image_106405119193.mp4,20,/video_frames/003_image_106405119193.mp4/frame_20.png,96.0,650.0,478.0,794.0,cropped/video_frames/003_image_106405119193.mp4/frame_20.png,True,False,False,False,False,False,False,True,False,False,False,False,1,554.0,316.0
1490,Z94PXPPQ,84472RLO,003_image_106405119193.mp4,30,/video_frames/003_image_106405119193.mp4/frame_30.png,96.0,650.0,478.0,794.0,cropped/video_frames/003_image_106405119193.mp4/frame_30.png,True,False,False,False,False,False,False,True,False,False,False,False,1,554.0,316.0
1491,EV5HZMJX,84472RLO,003_image_106405119193.mp4,40,/video_frames/003_image_106405119193.mp4/frame_40.png,96.0,650.0,478.0,794.0,cropped/video_frames/003_image_106405119193.mp4/frame_40.png,True,False,False,False,False,False,False,True,False,False,False,False,1,554.0,316.0
1492,4O6SZIM3,84472RLO,003_image_106405119193.mp4,50,/video_frames/003_image_106405119193.mp4/frame_50.png,96.0,650.0,478.0,794.0,cropped/video_frames/003_image_106405119193.mp4/frame_50.png,True,False,False,False,False,False,False,True,False,False,False,False,1,554.0,316.0
1493,ERHD529E,84472RLO,003_image_106405119193.mp4,60,/video_frames/003_image_106405119193.mp4/frame_60.png,96.0,650.0,478.0,794.0,cropped/video_frames/003_image_106405119193.mp4/frame_60.png,True,False,False,False,False,False,False,True,False,False,False,False,1,554.0,316.0
1494,PFBFDPNM,84472RLO,003_image_106405119193.mp4,70,/video_frames/003_image_106405119193.mp4/frame_70.png,96.0,650.0,478.0,794.0,cropped/video_frames/003_image_106405119193.mp4/frame_70.png,True,False,False,False,False,False,False,True,False,False,False,False,1,554.0,316.0
1495,1FIC0DZ8,84472RLO,003_image_106405119193.mp4,80,/video_frames/003_image_106405119193.mp4/frame_80.png,96.0,650.0,478.0,796.0,cropped/video_frames/003_image_106405119193.mp4/frame_80.png,True,False,False,False,False,False,False,True,False,False,False,False,1,554.0,318.0
1496,EXQDLFRY,84472RLO,003_image_106405119193.mp4,90,/video_frames/003_image_106405119193.mp4/frame_90.png,96.0,650.0,478.0,666.0,cropped/video_frames/003_image_106405119193.mp4/frame_90.png,True,False,False,False,False,False,False,True,False,False,False,False,1,554.0,188.0
