Transforms,Test F1_mean,Test F1_max,Test F1_min,Test Precision_mean,Test Precision_max,Test Precision_min,Test Recall_mean,Test Recall_max,Test Recall_min,Test Accuracy_mean,Test Accuracy_max,Test Accuracy_min,sweep_type,average_metric
,0.2492376649666123,0.53125,0.048,0.5628544751233827,1.0,0.0306122448979591,0.2670932078709042,0.4827586206896552,0.037037037037037,,,,,0.3419188324833062
"T.RandomApply([T.RandomAffine(degrees=(-15, 15))], p=0.5)",0.2531672275342326,0.8192771084337349,0.0470588235294117,0.342609397055858,0.9444444444444444,0.0344827586206896,0.3217799205766923,0.723404255319149,0.037037037037037,,,,affine,0.4590003394935514
"T.RandomApply([T.RandomAffine(degrees=(-30, 30))], p=0.5)",0.3652847425889345,0.8433734939759036,0.12,0.4832129274774973,1.0,0.0793650793650793,0.3967230704134593,0.7446808510638298,0.1111111111111111,,,,affine,0.5319917688848287
"T.RandomApply([T.RandomAffine(degrees=(-45, 45))], p=0.5)",0.3037033060412505,0.8045977011494252,0.0588235294117647,0.4097399267399267,0.875,0.0384615384615384,0.3193284343981336,0.7446808510638298,0.1111111111111111,,,,affine,0.4795730864215718
"T.RandomApply([T.RandomAffine(degrees=0, scale=(0.85, 1.15))], p=0.5)",0.2876423936553712,0.7368421052631579,0.0,0.3614203778677463,0.75,0.0,0.2784599797365755,0.7446808510638298,0.0,,,,affine,0.4385580389329487
"T.RandomApply([T.RandomAffine(degrees=0, shear=(-15, 15, -15, 15))], p=0.5)",0.307216753961503,0.8333333333333334,0.0492610837438423,0.4739903696800248,1.0,0.028735632183908,0.2924136378281646,0.7446808510638298,0.1111111111111111,,,,affine,0.491867818688469
"T.RandomApply([T.RandomAffine(degrees=0, shear=(0, 0, -15, 15))], p=0.5)",0.2603468400687955,0.7865168539325842,0.0530973451327433,0.5572412944505968,1.0,0.0348837209302325,0.317482056000031,0.7446808510638298,0.037037037037037,,,,affine,0.4500898961207057
"T.RandomApply([T.RandomAffine(degrees=0, translate=(0.15, 0.15))], p=0.5)",0.3502546348708406,0.8235294117647057,0.0197044334975369,0.4595207405268658,0.9210526315789472,0.0114942528735632,0.3104541413859095,0.7446808510638298,0.0689655172413793,,,,affine,0.5065095254910563
"T.RandomApply([T.RandomAffine(degrees=0, translate=(0.3, 0.3))], p=0.5)",0.3068301197839986,0.5511811023622046,0.1470588235294117,0.3677475364073588,1.0,0.1176470588235294,0.5261666026156122,0.9655172413793104,0.1428571428571428,,,,affine,0.3885933831898223
"T.RandomApply([T.RandomResizedCrop(size=(600, 400), scale=(0.85, 1.15), ratio=(3.0 / 2.0, 3.0 / 2.0), antialias=True)], p=0.5)",0.2805690590189564,0.813953488372093,0.0,0.5354277735465854,1.0,0.0,0.2471372284138241,0.7446808510638298,0.0,,,,affine,0.4658659248583154
"T.RandomApply([T.RandomResizedCrop(size=(600, 400), scale=(1.0, 1.15), ratio=(3.0 / 2.0, 3.0 / 2.0), antialias=True)], p=0.5)",0.2835421286031042,0.6363636363636364,0.0097560975609756,0.5186990876507005,1.0,0.0056818181818181,0.2665205526247345,0.7446808510638298,0.0344827586206896,,,,affine,0.3972921286031042
T.RandomHorizontalFlip(p=0.5),0.349858594288974,0.810126582278481,0.0,0.4028760482180293,1.0,0.0,0.3289744455701903,0.6808510638297872,0.0,,,,affine,0.4989799300558794
"CT.RandomElasticTransform(p=0.5, alpha=(5.0, 40.0), sigma=(4.0, 5.0))",0.2496585921266406,0.6796116504854368,0.0402010050251256,0.3351604278074866,0.6666666666666666,0.0235294117647058,0.287845128432069,0.7446808510638298,0.074074074074074,,,,elastic,0.4006940567600076
"CT.RandomElasticTransform(p=0.5, alpha=(5.0, 50.0), sigma=(4.0, 5.0))",0.2688569101276133,0.5511811023622046,0.1111111111111111,0.3886804836916944,1.0,0.1111111111111111,0.459076655525665,0.9655172413793104,0.074074074074074,,,,elastic,0.3660120071197996
"CT.RandomBrightnessByAdd(p=0.5, delta=(-0.35, 0.35))",0.3335530045351474,0.7777777777777778,0.0,0.5544455774481103,1.0,0.0,0.2824811437577395,0.7446808510638298,0.0,,,,pixel-level,0.4778876133786848
"CT.RandomBrightnessByAdd(p=0.5, delta=(0.05, 0.15))",0.2641826923076923,0.5384615384615385,0.0,0.4196897081628786,1.0,0.0,0.271052572329168,0.7446808510638298,0.0,,,,pixel-level,0.3474759615384616
"CT.RandomBrightnessByAdd(p=0.5, delta=(0.25, 0.35))",0.2908632933342036,0.7865168539325842,0.0,0.5096943389401338,1.0,0.0,0.2602589215355173,0.7446808510638298,0.0,,,,pixel-level,0.4600383882401355
"CT.RandomContrastByMultiply(p=0.5, multiplier=(0.01, 0.1))",0.2959842325695984,0.8536585365853657,0.0,0.3655555555555555,1.0,0.0,0.2625869638635595,0.7446808510638298,0.0,,,,pixel-level,0.4894555309189455
"CT.RandomContrastByMultiply(p=0.5, multiplier=(0.5, 1.0))",0.2608445642407906,0.7142857142857144,0.0,0.4679267617465681,1.0,0.0,0.239094900371496,0.7446808510638298,0.0,,,,pixel-level,0.416136567834681
"CT.RandomSaltAndPepperNoise(p=0.5, density=(0.005, 0.01))",0.3037648948736121,0.8433734939759036,0.0,0.3505668934240363,0.9722222222222222,0.0,0.2829044241810199,0.7446808510638298,0.0,,,,pixel-level,0.4892318450271674
"MT.RandGaussianSharpen(prob=0.5, alpha=(2.0, 2.0))",0.2543057503506311,0.608695652173913,0.0,0.4046428781722899,1.0,0.0,0.2676663289429247,0.7446808510638298,0.0,,,,pixel-level,0.3706311360448807
"MT.RandShiftIntensity(prob=0.5, offsets=(-0.1, 0.1))",0.2779457269584046,0.7368421052631579,0.0,0.5512878787878788,1.0,0.0,0.2448091860857818,0.7446808510638298,0.0,,,,pixel-level,0.4337097055844654
"MT.RandShiftIntensity(prob=0.5, offsets=(0.1, 0.4))",0.3112743534054726,0.8395061728395062,0.0,0.5895833333333333,1.0,0.0,0.2519824383654171,0.723404255319149,0.0,,,,pixel-level,0.4914396458385388
"MT.RandSmoothFieldAdjustContrast(prob=0.5, spatial_size=(600, 400), rand_size=(2, 2))",0.3150868353344768,0.6603773584905661,0.0,0.27346973904298,0.5932203389830508,0.0,0.3806822019587977,0.7446808510638298,0.0,,,,pixel-level,0.4216943610634648
"T.RandomAdjustSharpness(sharpness_factor=1.5, p=0.5)",0.2693511763436218,0.8536585365853657,0.0,0.3536434108527132,1.0,0.0,0.234015535292131,0.7446808510638298,0.0,,,,pixel-level,0.4761390028059572
"T.RandomAdjustSharpness(sharpness_factor=3.0, p=0.5)",0.2661194383709596,0.7792207792207793,0.0,0.4789162561576355,1.0,0.0,0.2332680400765507,0.6382978723404256,0.0,,,,pixel-level,0.4447480308737915
"T.RandomApply([T.ColorJitter(brightness=0.1, contrast=0.1, saturation=0.1, hue=0.1)], p=0.5)",0.2820963926039356,0.8536585365853657,0.0,0.4303030303030303,1.0,0.0,0.2431160643926601,0.7446808510638298,0.0,,,,pixel-level,0.4825116109361141
"T.RandomApply([T.ColorJitter(brightness=0.15, contrast=0.15)], p=0.5)",0.2510916307859115,0.7608695652173912,0.0,0.4724358974358974,1.0,0.0,0.2357086569852527,0.7446808510638298,0.0,,,,pixel-level,0.4298936414799122
