Transforms,Test F1_mean,Test F1_max,Test F1_min
"CT.RandomBrightnessByAdd(p=0.5, delta=(-0.15, 0.15))",0.2155644141954302,0.5882352941176471,0.0
"CT.RandomBrightnessByAdd(p=0.5, delta=(-0.25, 0.25))",0.2319889931207004,0.7948717948717948,0.0
"CT.RandomBrightnessByAdd(p=0.5, delta=(-0.35, 0.35))",0.3335530045351474,0.7777777777777778,0.0
"CT.RandomBrightnessByAdd(p=0.5, delta=(0.05, 0.15))",0.2641826923076923,0.5384615384615385,0.0
"CT.RandomBrightnessByAdd(p=0.5, delta=(0.15, 0.25))",0.1773269808183825,0.4210526315789473,0.0
"CT.RandomBrightnessByAdd(p=0.5, delta=(0.25, 0.35))",0.2908632933342036,0.7865168539325842,0.0
"CT.RandomBrightnessByAdd(p=1.0, delta=(0.005, 0.015))",0.2415273265686433,0.5035971223021584,0.0
"CT.RandomContrastByMultiply(p=0.5, multiplier=(0.01, 0.1))",0.2959842325695984,0.8536585365853657,0.0
"CT.RandomContrastByMultiply(p=0.5, multiplier=(0.1, 0.5))",0.2386106564829969,0.523076923076923,0.0
"CT.RandomContrastByMultiply(p=0.5, multiplier=(0.5, 1.0))",0.2608445642407906,0.7142857142857144,0.0
"CT.RandomContrastByMultiply(p=0.5, multiplier=(0.5, 1.5))",0.1291722715451529,0.3389830508474576,0.0
"CT.RandomContrastByMultiply(p=0.5, multiplier=(0.9, 1.1))",0.1833239727289479,0.5970149253731344,0.0
"CT.RandomContrastByMultiply(p=0.5, multiplier=(1.5, 2.0))",0.1330368933085401,0.564516129032258,0.0
"CT.RandomNoise(p=0.5, mean=0, std=0.01)",0.2166076785654093,0.393939393939394,0.0
"CT.RandomNoise(p=0.5, mean=0, std=0.05)",0.2154936120789779,0.8536585365853657,0.0
"CT.RandomNoise(p=0.5, mean=0, std=0.1)",0.2077256077256077,0.7142857142857144,0.0
"CT.RandomNoise(p=0.5, mean=0, std=0.5)",0.1445797952047952,0.546875,0.0
"CT.RandomNoiseWithFV(p=0.5, fv=(0.1, 0.1))",0.1866310160427807,0.6666666666666665,0.0
"CT.RandomNoiseWithFV(p=0.5, fv=(0.1, 0.5))",0.1453530436782643,0.564516129032258,0.0
"CT.RandomNoiseWithFV(p=0.5, fv=(0.1, 1.0))",0.1461971553825802,0.4347826086956521,0.0
"CT.RandomNoiseWithFV(p=0.5, fv=(0.5, 0.5))",0.1649185867895545,0.56,0.0
"CT.RandomNoiseWithFV(p=0.5, fv=(0.5, 1.0))",0.2208125024045422,0.8395061728395062,0.0
"CT.RandomNoiseWithFV(p=0.5, fv=(0.5, 1.5))",0.0914633577459532,0.2061855670103092,0.0
"CT.RandomNoiseWithFV(p=0.5, fv=(1.0, 1.5))",0.2194332908667574,0.8235294117647057,0.0
"CT.RandomSaltAndPepperNoise(p=0.5, density=(0.001, 0.001))",0.1280573219439184,0.4216867469879518,0.0
"CT.RandomSaltAndPepperNoise(p=0.5, density=(0.005, 0.01))",0.3037648948736121,0.8433734939759036,0.0
"CT.RandomSaltAndPepperNoise(p=0.5, density=(0.01, 0.01))",0.1695652173913043,0.608695652173913,0.0
"CT.RandomSaltAndPepperNoise(p=0.5, density=(0.01, 0.03))",0.1040103739758515,0.4430379746835443,0.0
