Transforms,Test F1_mean,Test F1_max,Test F1_min,Test Precision_mean,Test Precision_max,Test Precision_min,Test Recall_mean,Test Recall_max,Test Recall_min,Test Accuracy_mean,Test Accuracy_max,Test Accuracy_min
No Transforms,0.3126129032258064,0.825,0.0,0.5599999999999999,1.0,0.0,0.2386265901159518,0.7021276595744681,0.0,,,
"T.RandomApply([T.ColorJitter(brightness=(0.5, 1.5), saturation=(0.5, 1.5)), T.RandomAdjustSharpness(sharpness_factor=2, p=0.5), T.ColorJitter(contrast=(0.5, 1.5))], p=0.5)",0.3116045607034342,0.8395061728395062,0.0535714285714285,0.47245299565500465,1.0,0.0352941176470588,0.39278886055114964,0.7241379310344828,0.1111111111111111,,,
"T.RandomApply([T.RandomAffine(degrees=(-25, 25)), T.RandomAffine(degrees=0, translate=(0.15, 0.15))], p=0.5)",0.27780086796118225,0.8235294117647057,0.0571428571428571,0.4550763282390699,1.0,0.0384615384615384,0.4024081643744153,0.8620689655172413,0.037037037037037,,,
"T.RandomApply([T.RandomAffine(degrees=(-25, 25))], p=0.5)",0.2828702176088404,0.6990291262135921,0.0461538461538461,0.31176125973693786,0.6428571428571429,0.029126213592233,0.4075246402465772,0.7659574468085106,0.1111111111111111,,,
"T.RandomApply([T.RandomAffine(degrees=0, shear=(-15, 15, -15, 15))], p=0.5)",0.3983488028564471,0.8235294117647057,0.0674157303370786,0.4681791334100917,1.0,0.0483870967741935,0.40956014394018797,0.7446808510638298,0.1111111111111111,,,
"T.RandomApply([T.RandomAffine(degrees=0, translate=(0.15, 0.15)), T.RandomAffine(degrees=0, shear=(-15, 15, -15, 15)), T.RandomAffine(degrees=(-25, 25))], p=0.5)",0.24985674537524435,0.6422018348623854,0.075,0.35159124927001184,1.0,0.0566037735849056,0.3402151339055227,0.7446808510638298,0.1111111111111111,,,
"T.RandomApply([T.RandomAffine(degrees=0, translate=(0.15, 0.15)), T.RandomAffine(degrees=0, shear=(-15, 15, -15, 15))], p=0.5)",0.29636829738599646,0.625,0.1111111111111111,0.3692699404374531,1.0,0.0761421319796954,0.37555904924943806,0.7446808510638298,0.1481481481481481,,,
"T.RandomApply([T.RandomAffine(degrees=0, translate=(0.15, 0.15))], p=0.5)",0.19309099081069694,0.4964539007092198,0.0491803278688524,0.31107372965253094,1.0,0.031578947368421,0.28717371810548625,0.7446808510638298,0.0689655172413793,,,
"T.RandomApply([T.RandomChoice([CT.RandomNoiseWithFV(p=1.0, fv=(0.3, 0.3)), CT.RandomNoiseWithFV(p=1.0, fv=(0.4, 0.4)), CT.RandomNoiseWithFV(p=1.0, fv=(0.5, 0.5))]), T.RandomAffine(degrees=(-25, 25))], p=0.5)",0.1974380579349123,0.5540540540540542,0.0,0.3272846100399514,1.0,0.0,0.2743622650005629,0.8723404255319149,0.0,,,
"T.RandomApply([T.RandomChoice([CT.RandomNoiseWithFV(p=1.0, fv=(0.3, 0.3)), CT.RandomNoiseWithFV(p=1.0, fv=(0.4, 0.4)), CT.RandomNoiseWithFV(p=1.0, fv=(0.5, 0.5))])], p=0.5)",0.18923495241626498,0.7526881720430109,0.0,0.19436392914653783,0.7608695652173914,0.0,0.19401553529213103,0.7446808510638298,0.0,,,
"T.RandomApply([T.RandomChoice([CT.RandomSaltAndPepperNoise(p=1.0, density=(0.01, 0.01)), CT.RandomSaltAndPepperNoise(p=1.0, density=(0.02, 0.02)), CT.RandomSaltAndPepperNoise(p=1.0, density=(0.03, 0.03))]), T.RandomAffine(degrees=0, shear=(-15, 15, -15, 15))], p=0.5)",0.30354764735342454,0.65,0.046875,0.3204415302816536,1.0,0.0297029702970297,0.47297193011059474,0.8275862068965517,0.1111111111111111,,,
"T.RandomApply([T.RandomChoice([CT.RandomSaltAndPepperNoise(p=1.0, density=(0.01, 0.01)), CT.RandomSaltAndPepperNoise(p=1.0, density=(0.02, 0.02)), CT.RandomSaltAndPepperNoise(p=1.0, density=(0.03, 0.03))])], p=0.5)",0.18013008477871972,0.7608695652173912,0.0,0.17653713196523935,0.7777777777777778,0.0,0.19570865698525272,0.7446808510638298,0.0,,,
