Transforms,Test F1_mean,Test F1_max,Test F1_min,Test F1_std,Test Precision_mean,Test Precision_max,Test Precision_min,Test Precision_std,Test Recall_mean,Test Recall_max,Test Recall_min,Test Recall_std,Test Accuracy_mean,Test Accuracy_max,Test Accuracy_min,Test Accuracy_std
"CT.RandomBrightnessByAdd(p=0.5, delta=(-0.15, 0.15))",0.2155644141954302,0.5882352941176471,0.0,0.2782712374410505,0.25027186761229314,0.7333333333333333,0.0,0.3398235983445369,0.234015535292131,0.7446808510638298,0.0,0.3129913758265809,,,,
"CT.RandomBrightnessByAdd(p=0.5, delta=(-0.25, 0.25))",0.23198899312070043,0.7948717948717948,0.0,0.3411620220785078,0.26144159791576205,1.0,0.0,0.428860049989945,0.2284228301249578,0.6595744680851063,0.0,0.2848062477475211,,,,
"CT.RandomBrightnessByAdd(p=0.5, delta=(-0.35, 0.35))",0.3335530045351474,0.7777777777777778,0.0,0.32789217263205206,0.5544455774481103,1.0,0.0,0.49714131639753767,0.2824811437577395,0.7446808510638298,0.0,0.29162047362352356,,,,
"CT.RandomBrightnessByAdd(p=0.5, delta=(0.05, 0.15))",0.2641826923076923,0.5384615384615385,0.0,0.23442800189658414,0.41968970816287865,1.0,0.0,0.423287681266477,0.271052572329168,0.7446808510638298,0.0,0.2883647114065598,,,,
"CT.RandomBrightnessByAdd(p=0.5, delta=(0.15, 0.25))",0.17732698081838258,0.42105263157894735,0.0,0.19203964987311942,0.3603128054740958,1.0,0.0,0.418419914514568,0.24713722841382416,0.7446808510638298,0.0,0.30839664522081306,,,,
"CT.RandomBrightnessByAdd(p=0.5, delta=(0.25, 0.35))",0.2908632933342036,0.7865168539325842,0.0,0.33495976731961286,0.5096943389401338,1.0,0.0,0.4649202684355269,0.2602589215355173,0.7446808510638298,0.0,0.3048228460445278,,,,
"CT.RandomBrightnessByAdd(p=1.0, delta=(0.005, 0.015))",0.24152732656864337,0.5035971223021584,0.0,0.22706868081091702,0.479983060417843,1.0,0.0,0.36251170859880344,0.25285151412810986,0.7446808510638298,0.0,0.31086843429136507,,,,
"CT.RandomContrastByMultiply(p=0.5, multiplier=(0.01, 0.1))",0.2959842325695984,0.8536585365853657,0.0,0.39723647641303905,0.3655555555555555,1.0,0.0,0.4931068048482543,0.26258696386355956,0.7446808510638298,0.0,0.32829684465237347,,,,
"CT.RandomContrastByMultiply(p=0.5, multiplier=(0.1, 0.5))",0.2386106564829969,0.523076923076923,0.0,0.23021020815462945,0.4541499330655957,1.0,0.0,0.4560041079766103,0.24626815265113136,0.723404255319149,0.0,0.2856561362235912,,,,
"CT.RandomContrastByMultiply(p=0.5, multiplier=(0.5, 1.0))",0.26084456424079067,0.7142857142857144,0.0,0.2847453891013758,0.46792676174656817,1.0,0.0,0.4348378239228466,0.23909490037149608,0.7446808510638298,0.0,0.2939617190242407,,,,
"CT.RandomContrastByMultiply(p=0.5, multiplier=(0.5, 1.5))",0.1291722715451529,0.3389830508474576,0.0,0.1588750037678846,0.2893939393939394,1.0,0.0,0.4346795152658284,0.10915231340763257,0.2857142857142857,0.0,0.11894239914768194,,,,
"CT.RandomContrastByMultiply(p=0.5, multiplier=(0.9, 1.1))",0.1833239727289479,0.5970149253731344,0.0,0.2571291838386842,0.25394853593611355,1.0,0.0,0.42885638034677015,0.17018574805808848,0.425531914893617,0.0,0.19195224379972742,,,,
"CT.RandomContrastByMultiply(p=0.5, multiplier=(1.5, 2.0))",0.13303689330854016,0.564516129032258,0.0,0.24254173242991664,0.2965694682675815,1.0,0.0,0.4380768538456941,0.1768726781492739,0.7446808510638298,0.0,0.32066019947353325,,,,
"CT.RandomNoise(p=0.5, mean=0, std=0.01)",0.21660767856540936,0.393939393939394,0.0,0.18285433591570985,0.4906125407756433,1.0,0.0,0.4933283326274142,0.17294607677586402,0.37142857142857144,0.0,0.13917338631102985,,,,
"CT.RandomNoise(p=0.5, mean=0, std=0.05)",0.21549361207897794,0.8536585365853657,0.0,0.363176436718804,0.22917991099809285,1.0,0.0,0.43312961665967536,0.24544410672070244,0.7446808510638298,0.0,0.3176634953088516,,,,
"CT.RandomNoise(p=0.5, mean=0, std=0.1)",0.20772560772560772,0.7142857142857144,0.0,0.29163839983231377,0.37457374254049447,1.0,0.0,0.44502397735178406,0.23570865698525273,0.7446808510638298,0.0,0.3050027824619987,,,,
"CT.RandomNoise(p=0.5, mean=0, std=0.5)",0.14457979520479522,0.546875,0.0,0.23105849252136065,0.10905171849394199,0.43209876543209874,0.0,0.18381916457652184,0.2283012495778453,0.7446808510638298,0.0,0.31141636085018554,,,,
"CT.RandomNoiseWithFV(p=0.5, fv=(0.1, 0.1))",0.1866310160427807,0.6666666666666665,0.0,0.28437630277090825,0.16375883756235088,0.603448275862069,0.0,0.2580581358694791,0.2208938421704379,0.7446808510638298,0.0,0.3153168025606208,,,,
"CT.RandomNoiseWithFV(p=0.5, fv=(0.1, 0.5))",0.14535304367826435,0.564516129032258,0.0,0.23554611291695252,0.13695951107715815,0.4545454545454546,0.0,0.18540949900412196,0.18999437127096702,0.7446808510638298,0.0,0.3126671519424359,,,,
"CT.RandomNoiseWithFV(p=0.5, fv=(0.1, 1.0))",0.14619715538258027,0.43478260869565216,0.0,0.19089617229486897,0.10636318619128467,0.30701754385964913,0.0,0.13795984560875393,0.23972982100641677,0.7446808510638298,0.0,0.3150771072145736,,,,
