Transforms,Test F1_mean,Test F1_max,Test F1_min,Test Precision_mean,Test Precision_max,Test Precision_min,Test Recall_mean,Test Recall_max,Test Recall_min,Test Accuracy_mean,Test Accuracy_max,Test Accuracy_min
None,0.2043302235521915,0.608695652173913,0.0,0.18960784313725487,0.5147058823529411,0.0,0.2283012495778453,0.7446808510638298,0.0,,,
"T.RandomApply([T.ColorJitter(brightness=(0.5, 1.5), saturation=(0.5, 1.5)), T.RandomAdjustSharpness(sharpness_factor=2, p=0.5), T.ColorJitter(contrast=(0.5, 1.5))], p=0.5)",0.27544473527115765,0.8705882352941177,0.0,0.3084897558581769,0.9736842105263158,0.0,0.2596690307328605,0.7872340425531915,0.0,,,
"T.RandomApply([T.RandomAffine(degrees=(-25, 25)), T.RandomAffine(degrees=0, translate=(0.15, 0.15))], p=0.5)",0.28582663211755627,0.40909090909090906,0.047244094488188976,0.40071900506202984,1.0,0.03,0.4413359885406841,0.7931034482758621,0.1111111111111111,,,
"T.RandomApply([T.RandomAffine(degrees=(-25, 25))], p=0.5)",0.25584780915215394,0.7578947368421053,0.0196078431372549,0.40025537068910566,1.0,0.011428571428571429,0.2742861801115653,0.7659574468085106,0.06896551724137931,,,
"T.RandomApply([T.RandomAffine(degrees=0, shear=(-15, 15, -15, 15))], p=0.5)",0.30816095669036847,0.8333333333333334,0.028846153846153844,0.4223186975803749,1.0,0.01675977653631285,0.2870861428454972,0.7446808510638298,0.10344827586206896,,,
"T.RandomApply([T.RandomAffine(degrees=0, translate=(0.15, 0.15)), T.RandomAffine(degrees=0, shear=(-15, 15, -15, 15)), T.RandomAffine(degrees=(-25, 25))], p=0.5)",0.3575885475740338,0.7692307692307692,0.07407407407407407,0.41809068857841386,1.0,0.04938271604938271,0.49224578524651885,0.7446808510638298,0.14814814814814814,,,
"T.RandomApply([T.RandomAffine(degrees=0, translate=(0.15, 0.15)), T.RandomAffine(degrees=0, shear=(-15, 15, -15, 15))], p=0.5)",0.2910742483738999,0.8536585365853657,0.06122448979591836,0.43260927012314365,1.0,0.047619047619047616,0.308607762987807,0.7446808510638298,0.08571428571428572,,,
"T.RandomApply([T.RandomAffine(degrees=0, translate=(0.15, 0.15))], p=0.5)",0.1968819903644806,0.37113402061855666,0.04580152671755725,0.3141395036095497,1.0,0.028846153846153848,0.2990334889968052,0.7659574468085106,0.1111111111111111,,,
"T.RandomApply([T.RandomChoice([CT.RandomNoiseWithFV(p=1.0, fv=(0.3, 0.3)), CT.RandomNoiseWithFV(p=1.0, fv=(0.4, 0.4)), CT.RandomNoiseWithFV(p=1.0, fv=(0.5, 0.5))]), T.RandomAffine(degrees=(-25, 25))], p=0.5)",0.3623042424727485,0.9019607843137256,0.06896551724137932,0.3199052911057588,0.9583333333333334,0.05,0.5085762421052223,0.9148936170212766,0.1111111111111111,,,
"T.RandomApply([T.RandomChoice([CT.RandomNoiseWithFV(p=1.0, fv=(0.3, 0.3)), CT.RandomNoiseWithFV(p=1.0, fv=(0.4, 0.4)), CT.RandomNoiseWithFV(p=1.0, fv=(0.5, 0.5))])], p=0.5)",0.15470461612054529,0.6194690265486724,0.0,0.13098124098124098,0.5303030303030303,0.0,0.19401553529213103,0.7446808510638298,0.0,,,
"T.RandomApply([T.RandomChoice([CT.RandomSaltAndPepperNoise(p=1.0, density=(0.01, 0.01)), CT.RandomSaltAndPepperNoise(p=1.0, density=(0.02, 0.02)), CT.RandomSaltAndPepperNoise(p=1.0, density=(0.03, 0.03))]), T.RandomAffine(degrees=0, shear=(-15, 15, -15, 15))], p=0.5)",0.16814035087719295,0.6140350877192982,0.0,0.15269679002249026,0.5223880597014925,0.0,0.19972982100641673,0.7446808510638298,0.0,,,
"T.RandomApply([T.RandomChoice([CT.RandomSaltAndPepperNoise(p=1.0, density=(0.01, 0.01)), CT.RandomSaltAndPepperNoise(p=1.0, density=(0.02, 0.02)), CT.RandomSaltAndPepperNoise(p=1.0, density=(0.03, 0.03))])], p=0.5)",0.159498929957154,0.6376811594202899,0.016260162601626015,0.4161568402703154,1.0,0.010638297872340424,0.1284500809372416,0.46808510638297873,0.02857142857142857,,,
