Transforms,Test F1_mean,Test F1_max,Test F1_min,Test F1_std,Test Precision_mean,Test Precision_max,Test Precision_min,Test Precision_std,Test Recall_mean,Test Recall_max,Test Recall_min,Test Recall_std,Test Accuracy_mean,Test Accuracy_max,Test Accuracy_min,Test Accuracy_std
"MT.RandGridDistortion(num_cells=3, prob=0.5, distort_limit=(-0.03, 0.03))",0.20216397849462364,0.53125,0.0,0.221378926432462,0.3287782034908472,1.0,0.0,0.4141119806990564,0.2411887875717663,0.723404255319149,0.0,0.3093373656091252,,,,
"MT.RandGridDistortion(num_cells=3, prob=0.5, distort_limit=(-0.09, 0.09))",0.1965056447083706,0.4861111111111111,0.0,0.1976883419271976,0.14454203141892646,0.3608247422680412,0.0,0.15270657838601628,0.35578893430690933,0.7446808510638298,0.0,0.3067267220696938,,,,
"MT.RandGridDistortion(num_cells=3, prob=0.5, distort_limit=(-0.1, 0.1))",0.22315789473684214,0.8,0.0,0.35025910472564925,0.2374839537869063,0.8947368421052632,0.0,0.3886592886920813,0.21325227963525836,0.723404255319149,0.0,0.32151285478727115,,,,
"MT.RandGridDistortion(num_cells=3, prob=0.5, distort_limit=(-0.3, 0.3))",0.19509507012861402,0.578512396694215,0.0,0.24026719054609663,0.15822333556466683,0.47297297297297297,0.0,0.19683945781644982,0.2602589215355173,0.7446808510638298,0.0,0.3048228460445278,,,,
"MT.RandGridDistortion(num_cells=3, prob=0.5, distort_limit=(-0.5, 0.5))",0.14789750299209786,0.3414634146341463,0.0,0.1679690347728451,0.1111872861858535,0.2765957446808511,0.0,0.1289140909444777,0.2523406584448404,0.7446808510638298,0.0,0.3113135291579775,,,,
"MT.RandGridDistortion(num_cells=5, prob=0.5, distort_limit=(-0.03, 0.03))",0.25071291636712195,0.6542056074766355,0.0,0.3203245716581768,0.32445887445887445,1.0,0.0,0.4515052420125107,0.24544410672070244,0.7446808510638298,0.0,0.3176634953088516,,,,
"MT.RandGridDistortion(num_cells=5, prob=0.5, distort_limit=(-0.09, 0.09))",0.27340541951547637,0.9462365591397848,0.0,0.4066101982694064,0.2630434782608696,0.9565217391304348,0.0,0.41120873969219557,0.2951705504896994,0.9361702127659576,0.0,0.3990004844258958,,,,
"MT.RandGridDistortion(num_cells=5, prob=0.5, distort_limit=(-0.1, 0.1))",0.24589644843816857,0.6140350877192982,0.011111111111111112,0.2679054442188529,0.2828123491696854,0.631578947368421,0.006622516556291391,0.2838442635223731,0.2614411875453695,0.7446808510638298,0.034482758620689655,0.29553545714855334,,,,
"MT.RandGridDistortion(num_cells=5, prob=0.5, distort_limit=(-0.3, 0.3))",0.24367825381892078,0.6944444444444444,0.056074766355140186,0.26018729446131467,0.35129490926805507,1.0,0.0375,0.4070717013822603,0.30381410443039203,0.5319148936170213,0.07407407407407407,0.2044117825039005,,,,
"MT.RandGridDistortion(num_cells=5, prob=0.5, distort_limit=(-0.5, 0.5))",0.1577950043066322,0.41860465116279066,0.0,0.17468838463359523,0.16135795525559304,0.4444444444444444,0.0,0.19236968472957774,0.2896904199031859,0.9574468085106383,0.0,0.39893626947692884,,,,
"MT.RandGridDistortion(num_cells=7, prob=0.5, distort_limit=(-0.03, 0.03))",0.2390869372158812,0.7311827956989247,0.0,0.29728273641222436,0.40922314578005115,1.0,0.0,0.44064826325373224,0.2953394899983308,0.723404255319149,0.0,0.29386375875850557,,,,
