Run ID,Transform Init,Transforms,Output Transform,Fold,Best Epoch,Test F1,Test Precision,Test Recall,Test Accuracy,TN,FP,FN,TP
0v4qq8sn,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomResizedCrop(size=(600, 400), scale=(1.0, 1.15), ratio=(3.0 / 2.0, 3.0 / 2.0), antialias=True)], p=0.5)",None,4,39,0.40909090909090906,1.0,0.2571428571428571,,215,0,26,9
0owee7yz,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomResizedCrop(size=(600, 400), scale=(0.85, 1.0), ratio=(3.0 / 2.0, 3.0 / 2.0), antialias=True)], p=0.5)",None,4,38,0.3529411764705882,0.5625,0.2571428571428571,,208,7,26,9
x97kqqm8,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomResizedCrop(size=(600, 400), scale=(0.85, 1.15), ratio=(3.0 / 2.0, 3.0 / 2.0), antialias=True)], p=0.5)",None,4,19,0.47058823529411753,0.75,0.34285714285714286,,211,4,23,12
p6iu70rz,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomResizedCrop(size=(600, 400), scale=(0.7, 1.3), ratio=(3.0 / 2.0, 3.0 / 2.0), antialias=True)], p=0.5)",None,4,32,0.2680412371134021,0.20967741935483872,0.37142857142857144,,166,49,22,13
dg9pu2vn,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, scale=(0.7, 1.3))], p=0.5)",None,4,10,0.14705882352941174,0.15151515151515152,0.14285714285714285,,187,28,30,5
83xefx90,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, scale=(0.85, 1.15))], p=0.5)",None,4,29,0.3013698630136986,0.2894736842105263,0.3142857142857143,,188,27,24,11
delet16u,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, scale=(0.85, 1.0))], p=0.5)",None,4,20,0.21739130434782608,0.17543859649122806,0.2857142857142857,,168,47,25,10
p9k4qp8r,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, scale=(1.0, 1.15))], p=0.5)",None,4,33,0.2222222222222222,0.1956521739130435,0.2571428571428571,,178,37,26,9
hg3ex780,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))",T.RandomVerticalFlip(p=0.5),None,4,17,0.2524271844660194,0.19117647058823528,0.37142857142857144,,160,55,22,13
a6vnlgok,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))",T.RandomHorizontalFlip(p=0.5),None,4,39,0.29545454545454547,0.24528301886792453,0.37142857142857144,,175,40,22,13
mg4ui7zg,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, shear=(-30, 30, -30, 30))], p=0.5)",None,4,12,0.2184873949579832,0.15476190476190477,0.37142857142857144,,144,71,22,13
t4gxk2tp,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, shear=(-15, 15, -15, 15))], p=0.5)",None,4,18,0.2777777777777778,0.2702702702702703,0.2857142857142857,,188,27,25,10
v4hn2nva,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, shear=(0, 0, -15, 15))], p=0.5)",None,4,10,0.2439024390243902,0.8333333333333334,0.14285714285714285,,214,1,30,5
dng300dr,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, shear=(-15, 15, 0, 0))], p=0.5)",None,4,16,0.24,0.4,0.17142857142857143,,206,9,29,6
mtj1arne,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=(-5, 5))], p=0.5)",None,4,20,0.13157894736842105,0.12195121951219512,0.14285714285714285,,179,36,30,5
ftgs8j32,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=(-45, 45))], p=0.5)",None,4,23,0.28571428571428575,0.2619047619047619,0.3142857142857143,,184,31,24,11
avzj3epj,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=(-30, 30))], p=0.5)",None,4,19,0.2682926829268293,0.23404255319148937,0.3142857142857143,,179,36,24,11
vhk2701d,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=(-15, 15))], p=0.5)",None,4,11,0.19354838709677424,0.15517241379310345,0.2571428571428571,,166,49,26,9
wbt1esy1,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, translate=(0.3, 0.3))], p=0.5)",None,4,10,0.14705882352941174,0.15151515151515152,0.14285714285714285,,187,28,30,5
15am8yct,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, translate=(0.15, 0.15))], p=0.5)",None,4,20,0.31578947368421045,0.4090909090909091,0.2571428571428571,,202,13,26,9
uu3pl1sn,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, translate=(0.0, 0.15))], p=0.5)",None,4,20,0.3508771929824561,0.4545454545454546,0.2857142857142857,,203,12,25,10
gkyn9762,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, translate=(0.15, 0.0))], p=0.5)",None,4,39,0.1643835616438356,0.15789473684210523,0.17142857142857143,,183,32,29,6
l8u07v33,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))",None,None,4,38,0.4615384615384616,0.7058823529411765,0.34285714285714286,,210,5,23,12
8pp0vot6,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomResizedCrop(size=(600, 400), scale=(1.0, 1.15), ratio=(3.0 / 2.0, 3.0 / 2.0), antialias=True)], p=0.5)",None,3,15,0.6363636363636364,0.5555555555555556,0.7446808510638298,,138,28,12,35
6i2s65ho,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomResizedCrop(size=(600, 400), scale=(0.85, 1.0), ratio=(3.0 / 2.0, 3.0 / 2.0), antialias=True)], p=0.5)",None,3,14,0.4516129032258064,0.32407407407407407,0.7446808510638298,,93,73,12,35
u1ajw4h4,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomResizedCrop(size=(600, 400), scale=(0.85, 1.15), ratio=(3.0 / 2.0, 3.0 / 2.0), antialias=True)], p=0.5)",None,3,11,0.813953488372093,0.8974358974358975,0.7446808510638298,,162,4,12,35
fxyq6o1i,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomResizedCrop(size=(600, 400), scale=(0.7, 1.3), ratio=(3.0 / 2.0, 3.0 / 2.0), antialias=True)], p=0.5)",None,3,24,0.578512396694215,0.47297297297297297,0.7446808510638298,,127,39,12,35
u1hvuiyz,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, scale=(0.7, 1.3))], p=0.5)",None,3,8,0.5555555555555555,0.4430379746835443,0.7446808510638298,,122,44,12,35
pi2v45i4,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, scale=(0.85, 1.15))], p=0.5)",None,3,18,0.7368421052631579,0.7291666666666666,0.7446808510638298,,153,13,12,35
t330e0hc,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, scale=(0.85, 1.0))], p=0.5)",None,3,9,0.6542056074766355,0.5833333333333334,0.7446808510638298,,141,25,12,35
2evliz66,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, scale=(1.0, 1.15))], p=0.5)",None,3,9,0.8333333333333334,0.945945945945946,0.7446808510638298,,164,2,12,35
