2024-02-20 13:49:45,309 INFO    MainThread:6455 [wandb_setup.py:_flush():76] Current SDK version is 0.16.3
2024-02-20 13:49:45,310 INFO    MainThread:6455 [wandb_setup.py:_flush():76] Configure stats pid to 6455
2024-02-20 13:49:45,310 INFO    MainThread:6455 [wandb_setup.py:_flush():76] Loading settings from /Users/volodimir/.config/wandb/settings
2024-02-20 13:49:45,310 INFO    MainThread:6455 [wandb_setup.py:_flush():76] Loading settings from /Users/volodimir/Desktop/Bachelor/wandb/settings
2024-02-20 13:49:45,310 INFO    MainThread:6455 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'entity': 'daswoldemar', 'project': 'bachelor-test', 'sweep_id': '3t6l9m7y', 'root_dir': '/Users/volodimir/Desktop/Bachelor', 'run_id': 'ak4uogj0', 'sweep_param_path': '/Users/volodimir/Desktop/Bachelor/wandb/sweep-3t6l9m7y/config-ak4uogj0.yaml'}
2024-02-20 13:49:45,310 INFO    MainThread:6455 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-02-20 13:49:45,310 INFO    MainThread:6455 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'training_sweep.py', 'program_abspath': '/Users/volodimir/Desktop/Bachelor/training_sweep.py', 'program': '/Users/volodimir/Desktop/Bachelor/training_sweep.py'}
2024-02-20 13:49:45,310 INFO    MainThread:6455 [wandb_init.py:_log_setup():526] Logging user logs to /Users/volodimir/Desktop/Bachelor/wandb/run-20240220_134945-ak4uogj0/logs/debug.log
2024-02-20 13:49:45,311 INFO    MainThread:6455 [wandb_init.py:_log_setup():527] Logging internal logs to /Users/volodimir/Desktop/Bachelor/wandb/run-20240220_134945-ak4uogj0/logs/debug-internal.log
2024-02-20 13:49:45,311 INFO    MainThread:6455 [wandb_init.py:init():566] calling init triggers
2024-02-20 13:49:45,311 INFO    MainThread:6455 [wandb_init.py:init():573] wandb.init called with sweep_config: {'batch_size': 32, 'transform': 'random_rotation'}
config: {'program': 'training_sweep.py', 'method': 'grid', 'metric': {'goal': 'minimize', 'name': 'val_loss'}, 'parameters': {'transform': {'values': ['none', 'random_erasing', 'random_crop', 'random_horizontal_flip', 'random_vertical_flip', 'random_rotation']}, 'batch_size': {'values': [32, 64]}}}
2024-02-20 13:49:45,311 INFO    MainThread:6455 [wandb_init.py:init():616] starting backend
2024-02-20 13:49:45,311 INFO    MainThread:6455 [wandb_init.py:init():620] setting up manager
2024-02-20 13:49:45,318 INFO    MainThread:6455 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-02-20 13:49:45,321 INFO    MainThread:6455 [wandb_init.py:init():628] backend started and connected
2024-02-20 13:49:45,333 INFO    MainThread:6455 [wandb_run.py:_config_callback():1343] config_cb None None {'batch_size': 32, 'transform': 'random_rotation'}
2024-02-20 13:49:45,336 INFO    MainThread:6455 [wandb_init.py:init():720] updated telemetry
2024-02-20 13:49:45,354 INFO    MainThread:6455 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-02-20 13:49:45,836 INFO    MainThread:6455 [wandb_run.py:_on_init():2262] communicating current version
2024-02-20 13:49:45,956 INFO    MainThread:6455 [wandb_run.py:_on_init():2271] got version response 
2024-02-20 13:49:45,956 INFO    MainThread:6455 [wandb_init.py:init():804] starting run threads in backend
2024-02-20 13:49:47,835 INFO    MainThread:6455 [wandb_run.py:_console_start():2241] atexit reg
2024-02-20 13:49:47,835 INFO    MainThread:6455 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-02-20 13:49:47,835 INFO    MainThread:6455 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-02-20 13:49:47,835 INFO    MainThread:6455 [wandb_run.py:_redirect():2186] Redirects installed.
2024-02-20 13:49:47,836 INFO    MainThread:6455 [wandb_init.py:init():847] run started, returning control to user process
2024-02-20 13:50:59,972 WARNING MsgRouterThr:6455 [router.py:message_loop():77] message_loop has been closed
